Model,Classification,Dataset,XE Weight,Initialization,Layers,Epochs,Baseline,Test Accuracy,Test Recall,MIAS Acc,MIAS Recall,Notes
1.0.0.29b.8,B,8,2,Scratch,All,30,0.8333,0.993,1,0.2189,0.9831,
1.0.0.29l.8,L,8,2,Scratch,All,35,0.8333,0.889,0.9092,0.1462,0.9781,Unstable results
1.0.0.29g.6,B,6,2,Scratch,All,35,0.8376,0.8299,0.0477,0.8224,0.0144,
1.0.0.29l.14,L,6,2,Scratch,All,40,0.8376,0.9142,0.9353,0.1665,0.9663,
vgg_16.3.04b.9,B,9,2,Scratch,All,30,0.8333,0.8881,0.3589,0.9314,0.6517,
vgg_16.3.04l.6,L,6,2,Scratch,All,20,0.8376,0.8333,0.0288,0.4783,0.1759,
vgg_16.3.04b.8.1,B,8,2,vgg_16.3.04l.6,FC,5,0.8333,0.8747,0.2951,0.3986,0.6553,
1.0.0.46b.9,B,9,2,Scratch,All,35,0.8333,0.8242,0,0.8811,0.0157,
1.0.0.46b.8,B,8,2,Scratch,All,30,0.8333,0.5434,0.7549,0.0911,0.8136,
1.0.0.46l.8,L,8,2,Scratch,All,20,0.8333,0.1139,1,0.0325,0.9741,
1.0.0.46b.8.2,B,8,2,1.0.0.46l.8,FC,5,0.8333,0.8711,0.9434,0.2535,0.9749,Retrained only fc layers from 1.0.0.46l.8
1.0.0.46b.6,B,6,2,Scratch,All,20,0.8376,0.18,1,0.169,1,
1.0.0.46l.6,L,6,2,Scratch,All,20,0.8376,0.18,1,0.169,1,
inception_v4.05b.9,B,9,2,Scratch,All,20,0.8333,0.1828,1,0.1066,1,
1.0.0.46b.8.4,B,8,2,1.0.0.46b.6,All,10,0.8333,0.9896,0.9776,0.2746,0.9811,
1.0.0.28.2b.9,B,9,2,Scratch,All,20,0.8333,0.8675,0.2756,0.9165,0.5342,
1.0.0.35b.94,B,9,4,Scratch,All,30,0.8333,0.8502,0.7438,0.7328,0.887,
1.0.0.35b.98,B,9,6,Scratch,All,35,0.8333,0.9571,0.9012,0.8802,0.8173,Tuning hyperparameters
vgg_16.3.06b.9,B,9,6,Scratch,All,30,0.8333,0.8138,0.9884,0.4357,0.9797,
